Journey:1,Start Time:,11:38:58
Lat,Lng,Time
35.1462612,33.3408077,00:00:20
35.1464712,33.3407208,00:00:21
35.1464712,33.3407208,00:00:22
35.1464712,33.3407208,00:00:23
35.1464712,33.3407208,00:00:24
35.1464712,33.3407208,00:00:25
35.1466013,33.3408708,00:00:26
35.1466013,33.3408708,00:00:27
35.1466013,33.3408708,00:00:28
35.1466013,33.3408708,00:00:29
35.1466013,33.3408708,00:00:30
35.1469363,33.3411013,00:00:31
35.1469363,33.3411013,00:00:32
35.1469363,33.3411013,00:00:33
35.1469363,33.3411013,00:00:34
35.1469363,33.3411013,00:00:35
35.147286,33.3411382,00:00:36
35.147286,33.3411382,00:00:37
35.147286,33.3411382,00:00:38
35.147286,33.3411382,00:00:39
35.147286,33.3411382,00:00:40
35.1476488,33.3410348,00:00:41
35.1476488,33.3410348,00:00:42
35.1476488,33.3410348,00:00:43
35.1476488,33.3410348,00:00:44
35.1476488,33.3410348,00:00:45
35.1478907,33.3408219,00:00:46
35.1478907,33.3408219,00:00:47
35.1478907,33.3408219,00:00:48
35.1478907,33.3408219,00:00:49
35.1478907,33.3408219,00:00:50
35.1482168,33.3405914,00:00:51
35.1482168,33.3405914,00:00:52
35.1482168,33.3405914,00:00:53
35.1482168,33.3405914,00:00:54
35.1482168,33.3405914,00:00:55
35.1487186,33.3402737,00:00:56
35.1487186,33.3402737,00:00:57
35.1487186,33.3402737,00:00:58
35.1487186,33.3402737,00:00:59
35.1487186,33.3402737,00:01:00
35.1492532,33.3399795,00:01:01
35.1492532,33.3399795,00:01:02
35.1492532,33.3399795,00:01:03
35.1492532,33.3399795,00:01:04
35.1492532,33.3399795,00:01:05
35.149636,33.339872,00:01:06
35.149636,33.339872,00:01:07
35.149636,33.339872,00:01:08
35.149636,33.339872,00:01:09
35.149636,33.339872,00:01:10
35.1498203,33.3398111,00:01:11
35.1498203,33.3398111,00:01:12
35.1498223,33.3398111,00:01:13
35.1498223,33.3398111,00:01:14
35.1498223,33.3398111,00:01:15
35.1498264,33.3397835,00:01:16
